incident_id,inc_descrip,route,direction,Marker,number,inc_start,inc_duration,lanecount,blkDuration,respTime,rural
171985,Multivehicle Crash,I-40,Eastbound,Milepost,440,9/5/2017 16:48,51,1,50,N/A,Rural
171986,Single Vehicle Crash,I-640,Westbound,Milepost,1,9/5/2017 17:02,50,1,15,4,Urban
171991,Single Vehicle Crash,I-275,Southbound,Milepost,1,9/5/2017 18:15,28,0,0,5,Urban
171995,Single Vehicle Crash,I-40,Westbound,Milepost,381,9/5/2017 20:54,27,0,0,0,Urban
172002,Multivehicle Crash,I-40,Eastbound,Milepost,342,9/6/2017 7:34,12,1,6,4,Rural
172005,Multivehicle Crash,I-75,Southbound,Milepost,109,9/6/2017 7:47,37,1,6,8,Urban
172042,Multivehicle Crash,I-40,Eastbound,Milepost,380,9/6/2017 15:48,55,2,52,5,Urban
172048,Multivehicle Crash,I-140,Eastbound,Milepost,4,9/6/2017 16:47,69,1,22,10,Urban
172076,Multivehicle Crash,I-75,Southbound,Milepost,111,9/7/2017 8:08,12,1,5,3,Urban
172077,Single Vehicle Crash,I-26,Westbound,Milepost,6,9/7/2017 8:23,46,2,43,7,Rural
172079,Multivehicle Crash,I-40,Eastbound,Milepost,369,9/7/2017 8:49,55,0,0,0,Urban
172080,Multivehicle Crash,I-640,Westbound,Milepost,1,9/7/2017 8:57,57,2,41,9,Urban
172101,Multivehicle Crash,I-640,Eastbound,Milepost,3,9/7/2017 14:37,29,0,0,0,Urban
172105,Single Vehicle Crash,I-26,Westbound,Milepost,52,9/7/2017 15:55,132,2,133,N/A,Rural
172112,Multivehicle Crash,I-640,Eastbound,Milepost,6,9/7/2017 16:58,77,2,67,4,Urban
172116,Multivehicle Crash,I-40,Eastbound,Milepost,375,9/7/2017 17:46,51,1,46,2,Urban
172131,Multivehicle Crash,I-40,Eastbound,Milepost,385,9/8/2017 7:41,112,0,0,0,Urban
172132,Single Vehicle Crash,I-40,Westbound,Milepost,381,9/8/2017 7:49,111,2,15,2,Urban
172141,Multivehicle Crash,I-40,Westbound,Milepost,381,9/8/2017 9:02,50,1,5,0,Urban
172143,Multivehicle Crash,I-40,Westbound,Milepost,384,9/8/2017 9:25,77,0,0,0,Urban
172146,Multivehicle Crash,I-40,Westbound,Milepost,383,9/8/2017 9:36,42,0,0,0,Urban
172157,Single Vehicle Crash,I-40,Eastbound,Milepost,405,9/8/2017 11:53,42,1,21,8,Urban
